antecedents,consequents,support,confidence,lift
IKE Negotiation Failure,Ethernet Link Fault,0.127,0.318,1.929
eNodeB S1 Control Plane Transmission Interruption,Ethernet Link Fault,0.113,0.328,1.986
Remote Maintenance Link Failure,Inter-System Communication Failure,0.104,0.341,2.221
IKE Negotiation Failure,Inter-System Communication Failure,0.097,0.243,1.58
"eNodeB S1 Control Plane Transmission Interruption', 'IKE Negotiation Failure",Ethernet Link Fault,0.095,0.357,2.161
Remote Maintenance Link Failure,Ethernet Link Fault,0.081,0.267,1.616
eNodeB S1 Control Plane Transmission Interruption,Inter-System Communication Failure,0.08,0.233,1.52
"Remote Maintenance Link Failure', 'IKE Negotiation Failure",Inter-System Communication Failure,0.071,0.341,2.22
Cell Unavailable,Inter-System Communication Failure,0.07,0.217,1.413
RF Unit ALD Current Out of Range,ALD Maintenance Link Failure,0.067,0.48,4.435
"Remote Maintenance Link Failure', 'IKE Negotiation Failure",Ethernet Link Fault,0.066,0.318,1.925
"eNodeB S1 Control Plane Transmission Interruption', 'IKE Negotiation Failure",Inter-System Communication Failure,0.065,0.244,1.587
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption",Inter-System Communication Failure,0.065,0.345,2.244
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption",Ethernet Link Fault,0.063,0.336,2.037
Cell Blocked,ALD Maintenance Link Failure,0.061,0.192,1.778
"Remote Maintenance Link Failure', 'Cell Unavailable",Inter-System Communication Failure,0.058,0.376,2.445
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption', 'IKE Negotiation Failure",Ethernet Link Fault,0.056,0.352,2.133
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption', 'IKE Negotiation Failure",Inter-System Communication Failure,0.056,0.352,2.291
Cell Blocked,RF Unit VSWR Threshold Crossed,0.054,0.169,1.131
RF Unit Maintenance Link Failure,RF Unit VSWR Threshold Crossed,0.05,0.218,1.459
Cell Unavailable,RF Unit VSWR Threshold Crossed,0.05,0.154,1.03
BBU CPRI Interface Error,RF Unit VSWR Threshold Crossed,0.046,0.251,1.679
Cell Unavailable,Ethernet Link Fault,0.046,0.144,0.872
Cell Blocked,Inter-System Communication Failure,0.046,0.144,0.934
"Cell Unavailable', 'IKE Negotiation Failure",Inter-System Communication Failure,0.045,0.355,2.309
"Cell Blocked', 'RF Unit ALD Current Out of Range",ALD Maintenance Link Failure,0.044,0.505,4.667
RF Unit Maintenance Link Failure,RF Out of Service,0.042,0.183,2.78
"eNodeB S1 Control Plane Transmission Interruption', 'Cell Unavailable",Inter-System Communication Failure,0.042,0.347,2.256
RF Unit ALD Current Out of Range,RF Unit VSWR Threshold Crossed,0.042,0.304,2.033
Cell Blocked,Ethernet Link Fault,0.042,0.133,0.808
RF Unit Maintenance Link Failure,ALD Maintenance Link Failure,0.041,0.18,1.661
"RF Unit Maintenance Link Failure', 'BBU CPRI Interface Error",RF Unit VSWR Threshold Crossed,0.041,0.276,1.843
"Remote Maintenance Link Failure', 'Cell Unavailable', 'IKE Negotiation Failure",Inter-System Communication Failure,0.038,0.388,2.528
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption', 'Cell Unavailable",Inter-System Communication Failure,0.038,0.382,2.487
Cell RX Channel Interference Noise Power Unbalanced,RF Unit VSWR Threshold Crossed,0.038,0.204,1.366
Cell Blocked,RF Out of Service,0.036,0.113,1.713
Cell Unavailable,ALD Maintenance Link Failure,0.035,0.109,1.004
"Cell Unavailable', 'IKE Negotiation Failure",Ethernet Link Fault,0.035,0.277,1.681
"eNodeB S1 Control Plane Transmission Interruption', 'Cell Unavailable', 'IKE Negotiation Failure",Inter-System Communication Failure,0.033,0.373,2.426
"RF Unit Maintenance Link Failure', 'Cell Unavailable",RF Unit VSWR Threshold Crossed,0.033,0.253,1.692
BBU CPRI Interface Error,ALD Maintenance Link Failure,0.033,0.176,1.63
"Remote Maintenance Link Failure', 'Cell Unavailable",Ethernet Link Fault,0.033,0.212,1.282
IKE Negotiation Failure,ALD Maintenance Link Failure,0.032,0.08,0.736
"Remote Maintenance Link Failure', 'eNodeB S1 Control Plane Transmission Interruption', 'Cell Unavailable', 'IKE Negotiation Failure",Inter-System Communication Failure,0.032,0.394,2.564
IKE Negotiation Failure,RF Unit VSWR Threshold Crossed,0.032,0.08,0.532
eNodeB S1 Control Plane Transmission Interruption,RF Unit VSWR Threshold Crossed,0.031,0.09,0.599
BBU CPRI Interface Error,RF Out of Service,0.031,0.167,2.542
"Cell Blocked', 'RF Unit Maintenance Link Failure",ALD Maintenance Link Failure,0.03,0.234,2.166
"Cell Blocked', 'Remote Maintenance Link Failure",Inter-System Communication Failure,0.03,0.306,1.99
"eNodeB S1 Control Plane Transmission Interruption', 'Cell Unavailable",Ethernet Link Fault,0.03,0.247,1.495
"Cell Blocked', 'Remote Maintenance Link Failure",Ethernet Link Fault,0.029,0.298,1.803
"Cell Blocked', 'IKE Negotiation Failure",Ethernet Link Fault,0.029,0.267,1.616
"RF Unit Maintenance Link Failure', 'BBU CPRI Interface Error",RF Out of Service,0.029,0.195,2.955
"Remote Maintenance Link Failure', 'Cell Unavailable', 'IKE Negotiation Failure",Ethernet Link Fault,0.028,0.289,1.753
"Cell Unavailable', 'RF Unit Maintenance Link Failure', 'BBU CPRI Interface Error",RF Unit VSWR Threshold Crossed,0.028,0.304,2.034
"RF Unit Maintenance Link Failure', 'BBU CPRI Interface Error",ALD Maintenance Link Failure,0.028,0.189,1.75
