alarm_source,name,occurred_on_nt,severity,ne_type
10050,Inter-System Cabinet Configuration Conflict,2020-06-26,minor,BTS5900 5G
10050,Inter-System RF Unit Parameter Settings Conflict,2020-06-26,minor,BTS5900 5G
10050,Inter-System Board Installation and Configuration Mismatch,2020-06-26,minor,BTS5900 5G
10050,RAT Conflict between separate-MPT Boards,2020-06-26,minor,BTS5900 5G
10050,Inter-BBU Port Failure,2020-06-26,minor,BTS5900 5G
10050,Remote Maintenance Link Failure,2020-06-26,minor,BTS5900 5G
10050,RF Unit Maintenance Link Failure,2020-06-26,minor,BTS5900 5G
10050,Subrack Type and Configuration Mismatch,2020-06-26,minor,BTS5900 5G
10050,BBU DC Output Out of Range,2020-06-26,minor,BTS5900 5G
10050,Board Not In Position,2020-06-26,minor,BTS5900 5G
10050,Monitoring Device Maintenance Link Failure,2020-06-26,minor,BTS5900 5G
10050,Subrack Type and Configuration Mismatch,2020-06-27,minor,BTS5900 5G
10050,Inter-System Cabinet Configuration Conflict,2020-06-27,minor,BTS5900 5G
10050,RAT Conflict between separate-MPT Boards,2020-06-27,minor,BTS5900 5G
10050,Inter-System RF Unit Parameter Settings Conflict,2020-06-27,minor,BTS5900 5G
10050,Inter-System Board Installation and Configuration Mismatch,2020-06-27,minor,BTS5900 5G
10050,Remote Maintenance Link Failure,2020-06-27,minor,BTS5900 5G
10050,Board Not In Position,2020-06-27,minor,BTS5900 5G
10050,RF Unit Maintenance Link Failure,2020-06-27,minor,BTS5900 5G
10050,Monitoring Device Maintenance Link Failure,2020-06-27,minor,BTS5900 5G
10050,Remote Maintenance Link Failure,2020-06-30,minor,BTS5900 5G
10050,Inter-System Board Installation and Configuration Mismatch,2020-06-30,minor,BTS5900 5G
10050,Inter-System RF Unit Parameter Settings Conflict,2020-06-30,minor,BTS5900 5G
10050,RAT Conflict between separate-MPT Boards,2020-06-30,minor,BTS5900 5G
10050,Board Not In Position,2020-06-30,minor,BTS5900 5G
10050,Monitoring Device Maintenance Link Failure,2020-06-30,minor,BTS5900 5G
10050,Subrack Type and Configuration Mismatch,2020-06-30,minor,BTS5900 5G
10050,Inter-System Cabinet Configuration Conflict,2020-06-30,minor,BTS5900 5G
10050,RF Unit Maintenance Link Failure,2020-06-30,minor,BTS5900 5G
10050,IKE Negotiation Failure,2021-02-17,minor,BTS5900 5G
10050,Inter-System Communication Failure,2021-02-17,critical,BTS5900 5G
10590,NR DU Cell Blocked,2020-01-07,minor,BTS5900 5G
10590,gNodeB Out of Service,2020-01-07,minor,BTS5900 5G
10590,RF Unit VSWR Threshold Crossed,2020-06-05,minor,BTS5900 5G
10590,NR DU Cell Blocked,2020-06-08,minor,BTS5900 5G
10590,gNodeB Out of Service,2020-06-08,minor,BTS5900 5G
10590,RF Unit VSWR Threshold Crossed,2020-06-08,minor,BTS5900 5G
10590,RF Unit Maintenance Link Failure,2020-06-08,minor,BTS5900 5G
10590,IKE Negotiation Failure,2020-06-08,minor,BTS5900 5G
10590,RF Unit DC Input Power Failure,2020-06-08,minor,BTS5900 5G
10590,GPS Antenna Fault,2020-06-09,minor,BTS5900 5G
10590,RF Unit VSWR Threshold Crossed,2020-06-09,minor,BTS5900 5G
10590,RF Unit VSWR Threshold Crossed,2020-06-09,minor,BTS5900 5G
10590,NR DU Cell Blocked,2020-06-09,minor,BTS5900 5G
10590,RF Unit DC Input Power Failure,2020-06-09,minor,BTS5900 5G
10590,gNodeB Out of Service,2020-06-09,minor,BTS5900 5G
10590,IKE Negotiation Failure,2020-06-09,minor,BTS5900 5G
10590,RF Unit Maintenance Link Failure,2020-06-09,minor,BTS5900 5G
10590,IKE Negotiation Failure,2020-06-10,minor,BTS5900 5G
10590,RF Unit VSWR Threshold Crossed,2020-06-10,minor,BTS5900 5G
10590,NR DU Cell Blocked,2020-06-10,minor,BTS5900 5G
10590,gNodeB Out of Service,2020-06-10,minor,BTS5900 5G
10590,RF Unit Maintenance Link Failure,2020-06-10,minor,BTS5900 5G
10590,RF Unit DC Input Power Failure,2020-06-10,minor,BTS5900 5G
10590,gNodeB Out of Service,2020-06-11,minor,BTS5900 5G
10590,NR DU Cell Blocked,2020-06-11,minor,BTS5900 5G
10590,IKE Negotiation Failure,2020-06-11,minor,BTS5900 5G
10590,IKE Negotiation Failure,2020-06-25,minor,BTS5900 5G
10590,NR DU Cell Blocked,2020-06-25,minor,BTS5900 5G
10590,gNodeB Out of Service,2020-06-25,minor,BTS5900 5G
10590,RF Unit DC Input Power Failure,2020-06-25,minor,BTS5900 5G
10590,RF Unit Maintenance Link Failure,2020-06-25,minor,BTS5900 5G
10590,IKE Negotiation Failure,2020-06-26,minor,BTS5900 5G
10590,RF Unit Maintenance Link Failure,2020-06-26,minor,BTS5900 5G
10590,RF Unit DC Input Power Failure,2020-06-26,minor,BTS5900 5G
10590,gNodeB Out of Service,2020-06-26,minor,BTS5900 5G
10590,NR DU Cell Blocked,2020-06-26,minor,BTS5900 5G
10590,IKE Negotiation Failure,2020-06-29,minor,BTS5900 5G
10590,gNodeB Out of Service,2020-06-29,minor,BTS5900 5G
